scripCode,companyName,securityID
500002,ABB India Limited,ABB
500003,AEGIS LOGISTICS LTD.,AEGISLOG
500008,AMARA RAJA BATTERIES LTD.,ARE&M
500009,AMBALAL SARABHAI ENTERPRISES LTD.,AMBALALSA
500012,ANDHRA PETROCHEMICALS LTD.,ANDHRAPET
500013,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,ANSALAPI
500014,Utique Enterprises Ltd,UTIQUE
500016,ARUNA HOTELS LTD.,ARUNAHTEL
500020,BOMBAY DYEING & MFG.CO.LTD.,BOMDYEING
500023,Asian Hotels (North) Limited,ASIANHOTNR
500027,ATUL LTD.,ATUL
500028,ATV PROJECTS INDIA LTD.,ATVPR
500031,BAJAJ ELECTRICALS LTD.,BAJAJELEC
500032,Bajaj Hindusthan Sugar Limited,BAJAJHIND
500033,FORCE MOTORS LTD.,FORCEMOT
500034,Bajaj Finance Limited,BAJFINANCE
500038,BALRAMPUR CHINI MILLS LTD.,BALRAMCHIN
500039,BANCO PRODUCTS (INDIA) LTD.,BANCOINDIA
500040,CENTURY TEXTILES & INDUSTRIES LTD.,ABREL
500041,BANNARI AMMAN SUGARS LTD.,BANARISUG
500042,BASF INDIA LTD.,BASF
500043,BATA INDIA LTD.,BATAINDIA
500048,BEML LTD.,BEML
500049,BHARAT ELECTRONICS LTD.,BEL
500052,BHANSALI ENGINEERING POLYMERS LTD.,BEPL
500058,BIHAR SPONGE IRON LTD.,BIHSPONG
500059,BINANI INDUSTRIES LTD.,BINANIIND
500060,Birla Cable Ltd,BIRLACABLE
500067,BLUE STAR LTD.,BLUESTARCO
500068,DISA INDIA LTD.,DISAQ
500069,Quest Capital Markets Ltd,QUESTCAP
500074,BPL LTD.,BPL
500078,Oriental Aromatics Ltd,OAL
500083,CENTURY EXTRUSIONS LTD.,CENTEXT
500084,CESC LTD.,CESC
500085,CHAMBAL FERTILISERS & CHEMICALS LTD.,CHAMBLFERT
500086,EXIDE INDUSTRIES LTD.,EXIDEIND
500087,CIPLA LTD.,CIPLA
500089,DIC INDIA LTD.,DICIND
500092,CRISIL LTD.,CRISIL
500093,CG Power and Industrial Solutions Ltd,CGPOWER
500096,DABUR INDIA LTD.,DABUR
500097,Dalmia Bharat Sugar and Industries Ltd,DALMIASUG
500101,ARVIND LTD.,ARVIND
500103,BHARAT HEAVY ELECTRICALS LTD.,BHEL
500104,HINDUSTAN PETROLEUM CORPORATION LTD.,HINDPETRO
500106,IFCI LTD.,IFCI
